№,City,Status,fillColor
27,Ярославль,красный,#F44336
180,Херсон,красный,#F44336
181,Запорожье,красный,#F44336
175,Беларусь,красный,#F44336
174,Казахстан,красный,#F44336
53,Владимир,красный,#F44336
16,Волгоград,красный,#F44336
3,Новосибирск,красный,#F44336
152,Ханты-Мансийск,красный,#F44336
103,Южно-Сахалинск,красный,#F44336
110,Петропавловск-Камчатский,красный,#F44336
28,Севастополь,красный,#F44336
25,Иркутск,красный,#F44336
12,Краснодар,красный,#F44336
99,Абакан,красный,#F44336
96,Орск,красный,#F44336
179,Луганск,красный,#F44336
54,Симферополь,красный,#F44336
141,Ессентуки,красный,#F44336
